,éûçè,K [ﬂC],WT [ﬂC],MG [ﬂC],SC [ﬂC],No5 [V],No6 [V],No7 [V],No8 [V],No9 [V],No10 [V],No11 [V],No12 [V]
2021/10/14,11:57:55,12.81,13.51,13.59,13.05,0,0,0,0,0,0,0,0
2021/10/14,11:58:00,12.8,13.06,13.59,13.12,0,0,0,0,0,0,0,0
2021/10/14,11:58:05,12.79,13.46,13.7,13.18,0,0,0,0,0,0,0,0
2021/10/14,11:58:10,12.64,13.44,13.44,13.15,0,0,0,0,0,0,0,0
2021/10/14,11:58:15,12.87,13.42,13.63,13.14,0,0,0,0,0,0,0,0
2021/10/14,11:58:20,12.71,13.7,13.49,13.06,0,0,0,0,0,0,0,0
2021/10/14,11:58:25,12.57,13.39,13.37,13.1,0,0,0,0,0,0,0,0
2021/10/14,11:58:30,12.8,13.38,13.48,13.12,0,0,0,0,0,0,0,0
2021/10/14,11:58:35,12.51,13.37,13.46,13.03,0,0,0,0,0,0,0,0
2021/10/14,11:58:40,12.65,13.04,13.45,13.11,0,0,0,0,0,0,0,0
2021/10/14,11:58:45,12.64,13.7,13.52,13.13,0,0,0,0,0,0,0,0
2021/10/14,11:58:50,12.71,13.41,13.34,13.12,0,0,0,0,0,0,0,0
2021/10/14,11:58:55,12.78,13.4,13.59,13.1,0,0,0,0,0,0,0,0
2021/10/14,11:59:00,12.56,13.39,13.37,13.09,0,0,0,0,0,0,0,0
2021/10/14,11:59:05,12.74,13.34,13.45,13.13,0,0,0,0,0,0,0,0
2021/10/14,11:59:10,12.61,13.65,13.43,12.99,0,0,0,0,0,0,0,0
2021/10/14,11:59:15,12.59,13.03,13.41,13.02,0,0,0,0,0,0,0,0
2021/10/14,11:59:20,12.64,13.3,13.55,13.01,0,0,0,0,0,0,0,0
2021/10/14,11:59:25,12.56,13.28,13.25,12.98,0,0,0,0,0,0,0,0
2021/10/14,11:59:30,12.63,13.25,13.45,12.98,0,0,0,0,0,0,0,0
2021/10/14,11:59:35,12.49,13.23,13.45,12.91,0,0,0,0,0,0,0,0
2021/10/14,11:59:40,12.55,12.88,13.43,12.96,0,0,0,0,0,0,0,0
2021/10/14,11:59:45,12.56,13.63,13.42,12.92,0,0,0,0,0,0,0,0
2021/10/14,11:59:50,12.54,12.9,13.39,12.91,0,0,0,0,0,0,0,0
2021/10/14,11:59:55,12.52,13.17,13.53,12.9,0,0,0,0,0,0,0,0
2021/10/14,12:00:00,12.37,13.15,13.25,12.85,0,0,0,0,0,0,0,0
2021/10/14,12:00:05,12.59,13.24,13.32,12.98,0,0,0,0,0,0,0,0
2021/10/14,12:00:10,12.45,13.54,13.32,12.86,0,0,0,0,0,0,0,0
2021/10/14,12:00:15,12.43,12.8,13.31,12.96,0,0,0,0,0,0,0,0
2021/10/14,12:00:20,12.41,13.5,13.28,12.89,0,0,0,0,0,0,0,0
2021/10/14,12:00:25,12.4,13.13,13.1,12.85,0,0,0,0,0,0,0,0
2021/10/14,12:00:30,12.48,13.13,13.36,12.83,0,0,0,0,0,0,0,0
2021/10/14,12:00:35,12.21,13.12,13.21,12.76,0,0,0,0,0,0,0,0
2021/10/14,12:00:40,12.45,13.09,13.2,12.85,0,0,0,0,0,0,0,0
2021/10/14,12:00:45,12.32,13.4,13.17,12.72,0,0,0,0,0,0,0,0
2021/10/14,12:00:50,12.3,12.65,13.14,12.75,0,0,0,0,0,0,0,0
2021/10/14,12:00:55,12.22,13.05,13.24,12.72,0,0,0,0,0,0,0,0
2021/10/14,12:01:00,12.14,13.01,13.01,12.72,0,0,0,0,0,0,0,0
2021/10/14,12:01:05,12.32,12.99,13.28,12.69,0,0,0,0,0,0,0,0
2021/10/14,12:01:10,12.17,12.95,13.16,12.64,0,0,0,0,0,0,0,0
2021/10/14,12:01:15,12.27,12.66,13.13,12.69,0,0,0,0,0,0,0,0
2021/10/14,12:01:20,12.25,13.28,13.13,12.63,0,0,0,0,0,0,0,0
2021/10/14,12:01:25,12.21,12.9,13,12.61,0,0,0,0,0,0,0,0
2021/10/14,12:01:30,12.17,12.95,13.08,12.6,0,0,0,0,0,0,0,0
2021/10/14,12:01:35,12.02,12.96,12.94,12.67,0,0,0,0,0,0,0,0
2021/10/14,12:01:40,12.28,12.94,13.2,12.64,0,0,0,0,0,0,0,0
2021/10/14,12:01:45,12.13,13.23,13.02,12.58,0,0,0,0,0,0,0,0
2021/10/14,12:01:50,12.09,12.57,13,12.59,0,0,0,0,0,0,0,0
2021/10/14,12:01:55,12.18,12.87,13.12,12.58,0,0,0,0,0,0,0,0
2021/10/14,12:02:00,11.92,12.85,12.96,12.53,0,0,0,0,0,0,0,0
2021/10/14,12:02:05,12.03,12.5,12.93,12.58,0,0,0,0,0,0,0,0
2021/10/14,12:02:10,12,13.19,12.91,12.51,0,0,0,0,0,0,0,0
2021/10/14,12:02:15,11.98,12.46,12.9,12.55,0,0,0,0,0,0,0,0
2021/10/14,12:02:20,11.95,12.76,13.04,12.47,0,0,0,0,0,0,0,0
2021/10/14,12:02:25,11.85,12.82,12.84,12.55,0,0,0,0,0,0,0,0
2021/10/14,12:02:30,12.12,12.82,13.08,12.51,0,0,0,0,0,0,0,0
2021/10/14,12:02:35,11.98,13.11,12.91,12.46,0,0,0,0,0,0,0,0
2021/10/14,12:02:40,12.09,12.77,12.89,12.5,0,0,0,0,0,0,0,0
2021/10/14,12:02:45,11.94,13.06,12.86,12.42,0,0,0,0,0,0,0,0
2021/10/14,12:02:50,11.94,12.44,12.84,12.44,0,0,0,0,0,0,0,0
2021/10/14,12:02:55,11.9,12.73,12.91,12.42,0,0,0,0,0,0,0,0
2021/10/14,12:03:00,11.73,12.7,12.66,12.4,0,0,0,0,0,0,0,0
2021/10/14,12:03:05,11.94,12.67,12.92,12.37,0,0,0,0,0,0,0,0
2021/10/14,12:03:10,11.73,12.64,12.87,12.32,0,0,0,0,0,0,0,0
2021/10/14,12:03:15,11.9,12.3,12.84,12.39,0,0,0,0,0,0,0,0
2021/10/14,12:03:20,11.89,12.95,12.83,12.26,0,0,0,0,0,0,0,0
2021/10/14,12:03:25,11.85,12.58,12.65,12.29,0,0,0,0,0,0,0,0
2021/10/14,12:03:30,11.84,13,12.79,12.28,0,0,0,0,0,0,0,0
2021/10/14,12:03:35,11.78,12.53,12.61,12.25,0,0,0,0,0,0,0,0
2021/10/14,12:03:40,11.9,12.52,12.87,12.22,0,0,0,0,0,0,0,0
2021/10/14,12:03:45,11.6,12.51,12.7,12.13,0,0,0,0,0,0,0,0
2021/10/14,12:03:50,11.73,12.2,12.69,12.34,0,0,0,0,0,0,0,0
2021/10/14,12:03:55,11.7,12.87,12.68,12.2,0,0,0,0,0,0,0,0
2021/10/14,12:04:00,11.68,12.21,12.66,12.3,0,0,0,0,0,0,0,0
2021/10/14,12:04:05,11.67,12.51,12.77,12.21,0,0,0,0,0,0,0,0
2021/10/14,12:04:10,11.49,12.48,12.48,12.2,0,0,0,0,0,0,0,0
2021/10/14,12:04:15,11.71,12.47,12.72,12.17,0,0,0,0,0,0,0,0
2021/10/14,12:04:20,11.49,12.44,12.48,12.16,0,0,0,0,0,0,0,0
2021/10/14,12:04:25,11.66,12.42,12.54,12.19,0,0,0,0,0,0,0,0
2021/10/14,12:04:30,11.53,12.72,12.51,12.05,0,0,0,0,0,0,0,0
2021/10/14,12:04:35,11.62,12.13,12.6,12.19,0,0,0,0,0,0,0,0
2021/10/14,12:04:40,11.58,12.46,12.72,12.18,0,0,0,0,0,0,0,0
2021/10/14,12:04:45,11.58,12.13,12.57,12.15,0,0,0,0,0,0,0,0
2021/10/14,12:04:50,11.66,12.39,12.64,12.12,0,0,0,0,0,0,0,0
2021/10/14,12:04:55,11.39,12.39,12.37,12.1,0,0,0,0,0,0,0,0
2021/10/14,12:05:00,11.61,12.38,12.5,12.11,0,0,0,0,0,0,0,0
2021/10/14,12:05:05,11.39,12.76,12.49,12.01,0,0,0,0,0,0,0,0
2021/10/14,12:05:10,11.34,12.32,12.28,12.04,0,0,0,0,0,0,0,0
2021/10/14,12:05:15,11.3,12.28,12.28,12.01,0,0,0,0,0,0,0,0
2021/10/14,12:05:20,11.52,12.27,12.43,11.99,0,0,0,0,0,0,0,0
2021/10/14,12:05:25,11.49,11.93,12.49,12.03,0,0,0,0,0,0,0,0
2021/10/14,12:05:30,11.45,11.88,12.48,12.01,0,0,0,0,0,0,0,0
2021/10/14,12:05:35,11.42,12.53,12.45,11.92,0,0,0,0,0,0,0,0
2021/10/14,12:05:40,11.4,12.19,12.29,11.92,0,0,0,0,0,0,0,0
2021/10/14,12:05:45,11.38,12.46,12.38,11.89,0,0,0,0,0,0,0,0
2021/10/14,12:05:50,11.36,12.13,12.19,11.85,0,0,0,0,0,0,0,0
2021/10/14,12:05:55,11.46,12.12,12.49,11.82,0,0,0,0,0,0,0,0
2021/10/14,12:06:00,11.16,12.09,12.33,11.77,0,0,0,0,0,0,0,0
2021/10/14,12:06:05,11.28,11.78,12.3,11.95,0,0,0,0,0,0,0,0
2021/10/14,12:06:10,11.25,12.12,12.27,11.81,0,0,0,0,0,0,0,0
2021/10/14,12:06:15,11.25,11.83,12.26,11.88,0,0,0,0,0,0,0,0
2021/10/14,12:06:20,11.18,12.44,12.25,11.81,0,0,0,0,0,0,0,0
2021/10/14,12:06:25,11.18,12.08,12.12,11.78,0,0,0,0,0,0,0,0
2021/10/14,12:06:30,11.29,12.05,12.36,11.77,0,0,0,0,0,0,0,0
2021/10/14,12:06:35,11.02,12.03,12.03,11.74,0,0,0,0,0,0,0,0
2021/10/14,12:06:40,11.27,12.01,12.23,11.7,0,0,0,0,0,0,0,0
2021/10/14,12:06:45,10.98,11.99,12.12,11.65,0,0,0,0,0,0,0,0
2021/10/14,12:06:50,11.19,11.63,12.21,11.73,0,0,0,0,0,0,0,0
2021/10/14,12:06:55,11.15,12.21,12.18,11.65,0,0,0,0,0,0,0,0
2021/10/14,12:07:00,11.15,11.53,12.16,11.67,0,0,0,0,0,0,0,0
2021/10/14,12:07:05,11.13,12.18,12.13,11.59,0,0,0,0,0,0,0,0
2021/10/14,12:07:10,11,11.88,11.99,11.58,0,0,0,0,0,0,0,0
2021/10/14,12:07:15,11.15,11.85,12.22,11.56,0,0,0,0,0,0,0,0
2021/10/14,12:07:20,10.93,11.82,12.06,11.49,0,0,0,0,0,0,0,0
2021/10/14,12:07:25,11.12,11.81,12.21,11.51,0,0,0,0,0,0,0,0
2021/10/14,12:07:30,11.11,11.88,12.13,11.58,0,0,0,0,0,0,0,0
2021/10/14,12:07:35,10.97,12.21,12,11.5,0,0,0,0,0,0,0,0
2021/10/14,12:07:40,10.82,11.84,11.83,11.54,0,0,0,0,0,0,0,0
2021/10/14,12:07:45,11.07,11.81,12.09,11.53,0,0,0,0,0,0,0,0
2021/10/14,12:07:50,10.76,11.78,11.92,11.43,0,0,0,0,0,0,0,0
2021/10/14,12:07:55,10.97,11.77,12.02,11.46,0,0,0,0,0,0,0,0
2021/10/14,12:08:00,10.85,12.07,11.88,11.39,0,0,0,0,0,0,0,0
2021/10/14,12:08:05,10.78,11.32,11.87,11.46,0,0,0,0,0,0,0,0
2021/10/14,12:08:10,10.79,11.99,11.83,11.38,0,0,0,0,0,0,0,0
2021/10/14,12:08:15,10.76,11.78,11.8,11.46,0,0,0,0,0,0,0,0
2021/10/14,12:08:20,10.97,11.75,12,11.45,0,0,0,0,0,0,0,0
2021/10/14,12:08:25,10.71,11.73,11.75,11.41,0,0,0,0,0,0,0,0
2021/10/14,12:08:30,10.92,11.71,11.94,11.41,0,0,0,0,0,0,0,0
2021/10/14,12:08:35,10.63,11.68,11.82,11.31,0,0,0,0,0,0,0,0
2021/10/14,12:08:40,10.75,11.28,11.79,11.39,0,0,0,0,0,0,0,0
2021/10/14,12:08:45,10.73,11.95,11.78,11.27,0,0,0,0,0,0,0,0
2021/10/14,12:08:50,10.71,11.28,11.76,11.35,0,0,0,0,0,0,0,0
2021/10/14,12:08:55,10.67,11.87,11.73,11.28,0,0,0,0,0,0,0,0
2021/10/14,12:09:00,10.63,11.56,11.56,11.26,0,0,0,0,0,0,0,0
2021/10/14,12:09:05,10.74,11.54,11.8,11.23,0,0,0,0,0,0,0,0
2021/10/14,12:09:10,10.54,11.51,11.63,11.22,0,0,0,0,0,0,0,0
2021/10/14,12:09:15,10.76,11.49,11.9,11.19,0,0,0,0,0,0,0,0
2021/10/14,12:09:20,10.54,11.46,11.71,11.12,0,0,0,0,0,0,0,0
2021/10/14,12:09:25,10.64,11.13,11.68,11.17,0,0,0,0,0,0,0,0
2021/10/14,12:09:30,10.62,11.75,11.66,11.06,0,0,0,0,0,0,0,0
2021/10/14,12:09:35,10.55,11.02,11.66,11.09,0,0,0,0,0,0,0,0
2021/10/14,12:09:40,10.55,11.79,11.63,11.11,0,0,0,0,0,0,0,0
2021/10/14,12:09:45,10.54,11.11,11.6,11.15,0,0,0,0,0,0,0,0
2021/10/14,12:09:50,10.51,11.44,11.68,11.11,0,0,0,0,0,0,0,0
2021/10/14,12:09:55,10.36,11.39,11.41,11.08,0,0,0,0,0,0,0,0
2021/10/14,12:10:00,10.59,11.37,11.53,11.14,0,0,0,0,0,0,0,0
2021/10/14,12:10:05,10.3,11.35,11.34,11.06,0,0,0,0,0,0,0,0
2021/10/14,12:10:10,10.51,11.33,11.46,11.07,0,0,0,0,0,0,0,0
2021/10/14,12:10:15,10.4,11.59,11.46,10.93,0,0,0,0,0,0,0,0
2021/10/14,12:10:20,10.37,10.98,11.44,10.99,0,0,0,0,0,0,0,0
2021/10/14,12:10:25,10.32,11.52,11.41,10.95,0,0,0,0,0,0,0,0
2021/10/14,12:10:30,10.3,10.93,11.5,11.05,0,0,0,0,0,0,0,0
2021/10/14,12:10:35,10.38,11.32,11.52,10.99,0,0,0,0,0,0,0,0
2021/10/14,12:10:40,10.27,11.28,11.33,10.95,0,0,0,0,0,0,0,0
2021/10/14,12:10:45,10.43,11.26,11.57,10.94,0,0,0,0,0,0,0,0
2021/10/14,12:10:50,10.17,11.22,11.39,10.87,0,0,0,0,0,0,0,0
2021/10/14,12:10:55,10.38,11.21,11.46,10.9,0,0,0,0,0,0,0,0
2021/10/14,12:11:00,10.17,11.18,11.34,10.81,0,0,0,0,0,0,0,0
2021/10/14,12:11:05,10.23,10.81,11.33,10.9,0,0,0,0,0,0,0,0
2021/10/14,12:11:10,10.2,11.15,11.47,10.83,0,0,0,0,0,0,0,0
2021/10/14,12:11:15,10.19,10.79,11.29,10.83,0,0,0,0,0,0,0,0
2021/10/14,12:11:20,10.27,11.1,11.52,10.79,0,0,0,0,0,0,0,0
2021/10/14,12:11:25,10.12,11.08,11.23,10.74,0,0,0,0,0,0,0,0
2021/10/14,12:11:30,10.31,11.06,11.47,10.72,0,0,0,0,0,0,0,0
2021/10/14,12:11:35,10.04,11.03,11.28,10.68,0,0,0,0,0,0,0,0
2021/10/14,12:11:40,10.29,10.99,11.41,10.7,0,0,0,0,0,0,0,0
2021/10/14,12:11:45,10.05,10.95,11.23,10.62,0,0,0,0,0,0,0,0
2021/10/14,12:11:50,10.14,10.53,11.23,10.68,0,0,0,0,0,0,0,0
2021/10/14,12:11:55,10.11,11.38,11.21,10.71,0,0,0,0,0,0,0,0
2021/10/14,12:12:00,10.08,10.99,11.02,10.69,0,0,0,0,0,0,0,0
2021/10/14,12:12:05,10.14,10.98,11.24,10.65,0,0,0,0,0,0,0,0
2021/10/14,12:12:10,10.01,10.95,10.95,10.63,0,0,0,0,0,0,0,0
2021/10/14,12:12:15,10.11,10.94,11.23,10.61,0,0,0,0,0,0,0,0
2021/10/14,12:12:20,9.81,10.91,10.95,10.6,0,0,0,0,0,0,0,0
2021/10/14,12:12:25,10.05,10.88,11.06,10.63,0,0,0,0,0,0,0,0
2021/10/14,12:12:30,9.93,11.18,11.02,10.47,0,0,0,0,0,0,0,0
2021/10/14,12:12:35,10,10.83,10.99,10.56,0,0,0,0,0,0,0,0
2021/10/14,12:12:40,9.87,11.17,10.98,10.43,0,0,0,0,0,0,0,0
2021/10/14,12:12:45,9.83,10.41,10.96,10.53,0,0,0,0,0,0,0,0
2021/10/14,12:12:50,9.81,11.09,10.92,10.45,0,0,0,0,0,0,0,0
2021/10/14,12:12:55,9.79,10.73,10.83,10.42,0,0,0,0,0,0,0,0
