,éûçè,K [ﬂC],WT [ﬂC],MG [ﬂC],SC [ﬂC],No5 [V],No6 [V],No7 [V],No8 [V],No9 [V],No10 [V],No11 [V],No12 [V]
2021/09/28,16:43:10,23.37,23.29,23.24,23.19,0,0,0,0,0,0,0,0
2021/09/28,16:43:15,23.37,23.29,23.23,23.19,0,0,0,0,0,0,0,0
2021/09/28,16:43:20,23.34,23.29,23.23,23.19,0,0,0,0,0,0,0,0
2021/09/28,16:43:25,23.34,23.29,23.23,23.2,0,0,0,0,0,0,0,0
2021/09/28,16:43:30,17.23,23.29,23.22,23.18,0,0,0,0,0,0,0,0
2021/09/28,16:43:35,9.96,23.29,23.23,23.16,0,0,0,0,0,0,0,0
2021/09/28,16:43:40,10.86,23.27,23.23,23.11,0,0,0,0,0,0,0,0
2021/09/28,16:43:45,6.18,23.11,23.23,22.82,0,0,0,0,0,0,0,0
2021/09/28,16:43:50,6.23,22.4,22.67,22.08,0,0,0,0,0,0,0,0
2021/09/28,16:43:55,6.23,21.59,21.95,21.23,0,0,0,0,0,0,0,0
2021/09/28,16:44:00,7.08,20.73,21.14,20.4,0,0,0,0,0,0,0,0
2021/09/28,16:44:05,7,19.96,20.39,19.63,0,0,0,0,0,0,0,0
2021/09/28,16:44:10,6.56,19.19,19.65,18.88,0,0,0,0,0,0,0,0
2021/09/28,16:44:15,6.6,18.47,18.95,18.21,0,0,0,0,0,0,0,0
2021/09/28,16:44:20,6.86,17.77,18.32,17.52,0,0,0,0,0,0,0,0
2021/09/28,16:44:25,6.8,17.14,17.73,16.93,0,0,0,0,0,0,0,0
2021/09/28,16:44:30,7.09,16.59,17.19,16.44,0,0,0,0,0,0,0,0
2021/09/28,16:44:35,6.98,16.05,16.67,15.93,0,0,0,0,0,0,0,0
2021/09/28,16:44:40,7.26,15.56,16.22,15.48,0,0,0,0,0,0,0,0
2021/09/28,16:44:45,7.12,15.13,15.79,15.07,0,0,0,0,0,0,0,0
2021/09/28,16:44:50,7.18,14.71,15.39,14.67,0,0,0,0,0,0,0,0
2021/09/28,16:44:55,7.29,14.34,15.04,14.32,0,0,0,0,0,0,0,0
2021/09/28,16:45:00,7.4,13.98,14.69,13.98,0,0,0,0,0,0,0,0
2021/09/28,16:45:05,7.33,13.62,14.38,13.65,0,0,0,0,0,0,0,0
2021/09/28,16:45:10,7.4,13.32,14.06,13.36,0,0,0,0,0,0,0,0
2021/09/28,16:45:15,7.49,13.02,13.77,13.07,0,0,0,0,0,0,0,0
2021/09/28,16:45:20,7.54,12.73,13.5,12.84,0,0,0,0,0,0,0,0
2021/09/28,16:45:25,7.59,12.49,13.24,12.59,0,0,0,0,0,0,0,0
2021/09/28,16:45:30,7.74,12.27,13,12.37,0,0,0,0,0,0,0,0
2021/09/28,16:45:35,7.81,12.04,12.77,12.16,0,0,0,0,0,0,0,0
2021/09/28,16:45:40,7.77,11.85,12.55,11.97,0,0,0,0,0,0,0,0
2021/09/28,16:45:45,7.78,11.67,12.36,11.79,0,0,0,0,0,0,0,0
2021/09/28,16:45:50,7.83,11.5,12.16,11.63,0,0,0,0,0,0,0,0
2021/09/28,16:45:55,7.88,11.34,12,11.46,0,0,0,0,0,0,0,0
2021/09/28,16:46:00,7.99,11.22,11.89,11.34,0,0,0,0,0,0,0,0
2021/09/28,16:46:05,8.03,11.08,11.72,11.17,0,0,0,0,0,0,0,0
2021/09/28,16:46:10,8.07,10.95,11.61,11.06,0,0,0,0,0,0,0,0
2021/09/28,16:46:15,8.12,10.86,11.49,10.95,0,0,0,0,0,0,0,0
2021/09/28,16:46:20,8.14,10.75,11.37,10.82,0,0,0,0,0,0,0,0
2021/09/28,16:46:25,8.14,10.64,11.26,10.71,0,0,0,0,0,0,0,0
2021/09/28,16:46:30,8.24,10.54,11.15,10.6,0,0,0,0,0,0,0,0
2021/09/28,16:46:35,8.25,10.44,11.04,10.5,0,0,0,0,0,0,0,0
2021/09/28,16:46:40,8.29,10.36,10.94,10.39,0,0,0,0,0,0,0,0
2021/09/28,16:46:45,8.28,10.27,10.84,10.31,0,0,0,0,0,0,0,0
2021/09/28,16:46:50,8.31,10.2,10.75,10.22,0,0,0,0,0,0,0,0
2021/09/28,16:46:55,8.36,10.11,10.66,10.15,0,0,0,0,0,0,0,0
2021/09/28,16:47:00,8.35,10.04,10.58,10.07,0,0,0,0,0,0,0,0
2021/09/28,16:47:05,8.35,9.99,10.5,10,0,0,0,0,0,0,0,0
2021/09/28,16:47:10,8.38,9.92,10.44,9.95,0,0,0,0,0,0,0,0
2021/09/28,16:47:15,8.45,9.85,10.38,9.88,0,0,0,0,0,0,0,0
2021/09/28,16:47:20,8.5,9.81,10.32,9.82,0,0,0,0,0,0,0,0
2021/09/28,16:47:25,8.49,9.76,10.25,9.77,0,0,0,0,0,0,0,0
2021/09/28,16:47:30,8.5,9.7,10.2,9.71,0,0,0,0,0,0,0,0
2021/09/28,16:47:35,8.53,9.66,10.14,9.66,0,0,0,0,0,0,0,0
2021/09/28,16:47:40,8.52,9.62,10.09,9.62,0,0,0,0,0,0,0,0
2021/09/28,16:47:45,8.53,9.58,10.04,9.58,0,0,0,0,0,0,0,0
2021/09/28,16:47:50,8.54,9.54,10,9.54,0,0,0,0,0,0,0,0
2021/09/28,16:47:55,8.57,9.49,9.96,9.49,0,0,0,0,0,0,0,0
2021/09/28,16:48:00,8.6,9.45,9.92,9.47,0,0,0,0,0,0,0,0
2021/09/28,16:48:05,8.63,9.42,9.89,9.42,0,0,0,0,0,0,0,0
2021/09/28,16:48:10,8.63,9.4,9.85,9.4,0,0,0,0,0,0,0,0
2021/09/28,16:48:15,8.67,9.37,9.81,9.36,0,0,0,0,0,0,0,0
2021/09/28,16:48:20,8.67,9.34,9.8,9.33,0,0,0,0,0,0,0,0
2021/09/28,16:48:25,8.67,9.31,9.77,9.3,0,0,0,0,0,0,0,0
2021/09/28,16:48:30,8.69,9.29,9.74,9.27,0,0,0,0,0,0,0,0
2021/09/28,16:48:35,8.71,9.27,9.71,9.25,0,0,0,0,0,0,0,0
2021/09/28,16:48:40,8.71,9.35,9.8,9.33,0,0,0,0,0,0,0,0
2021/09/28,16:48:45,8.74,9.33,9.77,9.32,0,0,0,0,0,0,0,0
2021/09/28,16:48:50,8.75,9.32,9.76,9.29,0,0,0,0,0,0,0,0
2021/09/28,16:48:55,8.79,9.31,9.73,9.28,0,0,0,0,0,0,0,0
2021/09/28,16:49:00,8.79,9.29,9.72,9.26,0,0,0,0,0,0,0,0
2021/09/28,16:49:05,8.82,9.26,9.7,9.25,0,0,0,0,0,0,0,0
2021/09/28,16:49:10,8.82,9.25,9.69,9.24,0,0,0,0,0,0,0,0
2021/09/28,16:49:15,8.85,9.24,9.68,9.22,0,0,0,0,0,0,0,0
2021/09/28,16:49:20,8.86,9.22,9.66,9.21,0,0,0,0,0,0,0,0
2021/09/28,16:49:25,8.86,9.22,9.65,9.19,0,0,0,0,0,0,0,0
2021/09/28,16:49:30,8.86,9.21,9.64,9.18,0,0,0,0,0,0,0,0
2021/09/28,16:49:35,8.87,9.19,9.62,9.18,0,0,0,0,0,0,0,0
2021/09/28,16:49:40,8.89,9.19,9.62,9.17,0,0,0,0,0,0,0,0
2021/09/28,16:49:45,8.91,9.18,9.61,9.17,0,0,0,0,0,0,0,0
2021/09/28,16:49:50,8.93,9.17,9.59,9.15,0,0,0,0,0,0,0,0
2021/09/28,16:49:55,8.93,9.17,9.58,9.15,0,0,0,0,0,0,0,0
2021/09/28,16:50:00,8.96,9.17,9.58,9.15,0,0,0,0,0,0,0,0
2021/09/28,16:50:05,8.96,9.17,9.58,9.14,0,0,0,0,0,0,0,0
2021/09/28,16:50:10,8.97,9.15,9.57,9.14,0,0,0,0,0,0,0,0
2021/09/28,16:50:15,8.97,9.15,9.57,9.14,0,0,0,0,0,0,0,0
2021/09/28,16:50:20,8.97,9.15,9.57,9.14,0,0,0,0,0,0,0,0
2021/09/28,16:50:25,9.01,9.15,9.55,9.14,0,0,0,0,0,0,0,0
2021/09/28,16:50:30,9,9.14,9.57,9.14,0,0,0,0,0,0,0,0
2021/09/28,16:50:35,9.01,9.14,9.55,9.14,0,0,0,0,0,0,0,0
2021/09/28,16:50:40,9.01,9.14,9.55,9.14,0,0,0,0,0,0,0,0
2021/09/28,16:50:45,9.03,9.14,9.55,9.14,0,0,0,0,0,0,0,0
2021/09/28,16:50:50,9.04,9.14,9.55,9.14,0,0,0,0,0,0,0,0
2021/09/28,16:50:55,9.04,9.14,9.55,9.14,0,0,0,0,0,0,0,0
2021/09/28,16:51:00,9.04,9.15,9.55,9.14,0,0,0,0,0,0,0,0
2021/09/28,16:51:05,9.04,9.14,9.55,9.14,0,0,0,0,0,0,0,0
2021/09/28,16:51:10,9.05,9.14,9.55,9.14,0,0,0,0,0,0,0,0
2021/09/28,16:51:15,9.07,9.15,9.55,9.14,0,0,0,0,0,0,0,0
2021/09/28,16:51:20,9.07,9.15,9.55,9.14,0,0,0,0,0,0,0,0
2021/09/28,16:51:25,9.08,9.15,9.55,9.14,0,0,0,0,0,0,0,0
2021/09/28,16:51:30,9.08,9.15,9.55,9.14,0,0,0,0,0,0,0,0
2021/09/28,16:51:35,9.11,9.15,9.55,9.14,0,0,0,0,0,0,0,0
2021/09/28,16:51:40,9.09,9.15,9.55,9.15,0,0,0,0,0,0,0,0
2021/09/28,16:51:45,9.08,9.17,9.55,9.14,0,0,0,0,0,0,0,0
2021/09/28,16:51:50,9.11,9.17,9.55,9.15,0,0,0,0,0,0,0,0
2021/09/28,16:51:55,9.11,9.17,9.55,9.15,0,0,0,0,0,0,0,0
2021/09/28,16:52:00,9.12,9.17,9.55,9.17,0,0,0,0,0,0,0,0
2021/09/28,16:52:05,9.12,9.18,9.57,9.17,0,0,0,0,0,0,0,0
2021/09/28,16:52:10,9.11,9.18,9.57,9.17,0,0,0,0,0,0,0,0
2021/09/28,16:52:15,9.12,9.18,9.57,9.17,0,0,0,0,0,0,0,0
