,éûçè,K [ﬂC],WT [ﬂC],MG [ﬂC],SC [ﬂC],No5 [V],No6 [V],No7 [V],No8 [V],No9 [V],No10 [V],No11 [V],No12 [V]
2021/09/22,14:51:15,6.38,6.65,7.08,6.65,0,0,0,0,0,0,0,0
2021/09/22,14:51:20,6.4,6.65,7.05,6.64,0,0,0,0,0,0,0,0
2021/09/22,14:51:25,6.41,6.64,7.05,6.62,0,0,0,0,0,0,0,0
2021/09/22,14:51:30,6.41,6.64,7.04,6.61,0,0,0,0,0,0,0,0
2021/09/22,14:51:35,6.41,6.62,7.04,6.6,0,0,0,0,0,0,0,0
2021/09/22,14:51:40,6.43,6.61,7.04,6.58,0,0,0,0,0,0,0,0
2021/09/22,14:51:45,6.43,6.6,7.02,6.57,0,0,0,0,0,0,0,0
2021/09/22,14:51:50,6.44,6.6,7.01,6.55,0,0,0,0,0,0,0,0
2021/09/22,14:51:55,6.44,6.58,7,6.54,0,0,0,0,0,0,0,0
2021/09/22,14:52:00,6.45,6.58,7,6.54,0,0,0,0,0,0,0,0
2021/09/22,14:52:05,6.45,6.57,6.98,6.53,0,0,0,0,0,0,0,0
2021/09/22,14:52:10,6.45,6.55,6.97,6.51,0,0,0,0,0,0,0,0
2021/09/22,14:52:15,6.47,6.55,6.97,6.5,0,0,0,0,0,0,0,0
2021/09/22,14:52:20,6.47,6.54,6.95,6.5,0,0,0,0,0,0,0,0
2021/09/22,14:52:25,6.47,6.53,6.95,6.49,0,0,0,0,0,0,0,0
2021/09/22,14:52:30,6.48,6.53,6.95,6.49,0,0,0,0,0,0,0,0
2021/09/22,14:52:35,6.47,6.51,6.94,6.47,0,0,0,0,0,0,0,0
2021/09/22,14:52:40,6.48,6.51,6.93,6.47,0,0,0,0,0,0,0,0
2021/09/22,14:52:45,6.48,6.5,6.93,6.47,0,0,0,0,0,0,0,0
2021/09/22,14:52:50,6.49,6.5,6.93,6.47,0,0,0,0,0,0,0,0
2021/09/22,14:52:55,6.49,6.49,6.91,6.46,0,0,0,0,0,0,0,0
2021/09/22,14:53:00,6.49,6.49,6.9,6.44,0,0,0,0,0,0,0,0
2021/09/22,14:53:05,6.51,6.49,6.9,6.44,0,0,0,0,0,0,0,0
2021/09/22,14:53:10,6.51,6.47,6.9,6.43,0,0,0,0,0,0,0,0
2021/09/22,14:53:15,6.51,6.47,6.9,6.43,0,0,0,0,0,0,0,0
2021/09/22,14:53:20,6.51,6.47,6.9,6.43,0,0,0,0,0,0,0,0
2021/09/22,14:53:25,6.52,6.47,6.89,6.42,0,0,0,0,0,0,0,0
2021/09/22,14:53:30,6.42,6.47,6.87,6.42,0,0,0,0,0,0,0,0
2021/09/22,14:53:35,6.43,6.47,6.87,6.4,0,0,0,0,0,0,0,0
2021/09/22,14:53:40,6.42,6.46,6.87,6.4,0,0,0,0,0,0,0,0
2021/09/22,14:53:45,6.43,6.44,6.87,6.4,0,0,0,0,0,0,0,0
2021/09/22,14:53:50,6.43,6.44,6.86,6.39,0,0,0,0,0,0,0,0
2021/09/22,14:53:55,6.43,6.44,6.86,6.39,0,0,0,0,0,0,0,0
2021/09/22,14:54:00,6.43,6.44,6.86,6.39,0,0,0,0,0,0,0,0
2021/09/22,14:54:05,6.43,6.43,6.84,6.38,0,0,0,0,0,0,0,0
2021/09/22,14:54:10,6.45,6.43,6.84,6.38,0,0,0,0,0,0,0,0
2021/09/22,14:54:15,6.45,6.43,6.84,6.36,0,0,0,0,0,0,0,0
2021/09/22,14:54:20,6.45,6.43,6.84,6.36,0,0,0,0,0,0,0,0
2021/09/22,14:54:25,6.45,6.42,6.84,6.35,0,0,0,0,0,0,0,0
2021/09/22,14:54:30,6.45,6.42,6.84,6.35,0,0,0,0,0,0,0,0
2021/09/22,14:54:35,6.45,6.42,6.84,6.35,0,0,0,0,0,0,0,0
2021/09/22,14:54:40,6.45,6.42,6.83,6.33,0,0,0,0,0,0,0,0
2021/09/22,14:54:45,6.46,6.4,6.83,6.33,0,0,0,0,0,0,0,0
2021/09/22,14:54:50,6.46,6.4,6.83,6.33,0,0,0,0,0,0,0,0
2021/09/22,14:54:55,6.46,6.4,6.83,6.33,0,0,0,0,0,0,0,0
2021/09/22,14:55:00,6.48,6.39,6.83,6.33,0,0,0,0,0,0,0,0
2021/09/22,14:55:05,6.48,6.4,6.82,6.32,0,0,0,0,0,0,0,0
2021/09/22,14:55:10,6.48,6.39,6.83,6.33,0,0,0,0,0,0,0,0
2021/09/22,14:55:15,6.48,6.4,6.83,6.33,0,0,0,0,0,0,0,0
2021/09/22,14:55:20,6.48,6.39,6.82,6.32,0,0,0,0,0,0,0,0
2021/09/22,14:55:25,6.49,6.39,6.82,6.32,0,0,0,0,0,0,0,0
2021/09/22,14:55:30,6.49,6.38,6.8,6.31,0,0,0,0,0,0,0,0
2021/09/22,14:55:35,6.49,6.39,6.8,6.31,0,0,0,0,0,0,0,0
2021/09/22,14:55:40,6.5,6.39,6.82,6.31,0,0,0,0,0,0,0,0
2021/09/22,14:55:45,6.5,6.39,6.82,6.31,0,0,0,0,0,0,0,0
2021/09/22,14:55:50,6.5,6.38,6.8,6.31,0,0,0,0,0,0,0,0
2021/09/22,14:55:55,6.5,6.38,6.8,6.31,0,0,0,0,0,0,0,0
2021/09/22,14:56:00,6.5,6.38,6.8,6.29,0,0,0,0,0,0,0,0
2021/09/22,14:56:05,6.5,6.38,6.8,6.29,0,0,0,0,0,0,0,0
2021/09/22,14:56:10,6.52,6.38,6.8,6.31,0,0,0,0,0,0,0,0
2021/09/22,14:56:15,6.62,6.38,6.79,6.29,0,0,0,0,0,0,0,0
2021/09/22,14:56:20,6.62,6.38,6.79,6.29,0,0,0,0,0,0,0,0
2021/09/22,14:56:25,6.63,6.36,6.79,6.29,0,0,0,0,0,0,0,0
2021/09/22,14:56:30,6.63,6.36,6.79,6.28,0,0,0,0,0,0,0,0
2021/09/22,14:56:35,6.63,6.36,6.79,6.29,0,0,0,0,0,0,0,0
2021/09/22,14:56:40,6.63,6.35,6.79,6.28,0,0,0,0,0,0,0,0
2021/09/22,14:56:45,6.63,6.36,6.79,6.28,0,0,0,0,0,0,0,0
2021/09/22,14:56:50,6.65,6.36,6.79,6.28,0,0,0,0,0,0,0,0
2021/09/22,14:56:55,6.65,6.36,6.79,6.28,0,0,0,0,0,0,0,0
2021/09/22,14:57:00,6.65,6.35,6.79,6.28,0,0,0,0,0,0,0,0
2021/09/22,14:57:05,6.65,6.35,6.78,6.28,0,0,0,0,0,0,0,0
2021/09/22,14:57:10,6.66,6.35,6.79,6.28,0,0,0,0,0,0,0,0
