,éûçè,K [ﬂC],WT [ﬂC],MG [ﬂC],SC [ﬂC],No5 [V],No6 [V],No7 [V],No8 [V],No9 [V],No10 [V],No11 [V],No12 [V]
2021/09/21,13:07:10,0.76,15.62,16.43,15.74,0,0,0,0,0,0,0,0
2021/09/21,13:07:15,0.77,14.9,15.74,15.05,0,0,0,0,0,0,0,0
2021/09/21,13:07:20,0.76,14.23,15.12,14.39,0,0,0,0,0,0,0,0
2021/09/21,13:07:25,0.76,13.58,14.52,13.78,0,0,0,0,0,0,0,0
2021/09/21,13:07:30,0.76,13.01,13.97,13.2,0,0,0,0,0,0,0,0
2021/09/21,13:07:35,0.77,12.43,13.41,12.64,0,0,0,0,0,0,0,0
2021/09/21,13:07:40,0.77,11.88,12.9,12.11,0,0,0,0,0,0,0,0
2021/09/21,13:07:45,0.77,11.38,12.43,11.62,0,0,0,0,0,0,0,0
2021/09/21,13:07:50,0.78,10.92,11.96,11.14,0,0,0,0,0,0,0,0
2021/09/21,13:07:55,0.78,10.47,11.53,10.69,0,0,0,0,0,0,0,0
2021/09/21,13:08:00,0.78,10.03,11.12,10.27,0,0,0,0,0,0,0,0
2021/09/21,13:08:05,0.8,9.63,10.74,9.85,0,0,0,0,0,0,0,0
2021/09/21,13:08:10,0.81,9.26,10.36,9.48,0,0,0,0,0,0,0,0
2021/09/21,13:08:15,0.83,8.9,10.03,9.12,0,0,0,0,0,0,0,0
2021/09/21,13:08:20,0.83,8.59,9.72,8.81,0,0,0,0,0,0,0,0
2021/09/21,13:08:25,0.84,8.27,9.4,8.48,0,0,0,0,0,0,0,0
2021/09/21,13:08:30,0.85,7.98,9.12,8.17,0,0,0,0,0,0,0,0
2021/09/21,13:08:35,0.85,7.7,8.84,7.9,0,0,0,0,0,0,0,0
2021/09/21,13:08:40,0.87,7.46,8.59,7.64,0,0,0,0,0,0,0,0
2021/09/21,13:08:45,0.88,7.21,8.35,7.39,0,0,0,0,0,0,0,0
2021/09/21,13:08:50,0.88,6.99,8.12,7.15,0,0,0,0,0,0,0,0
2021/09/21,13:08:55,0.9,6.78,7.9,6.93,0,0,0,0,0,0,0,0
2021/09/21,13:09:00,0.9,6.57,7.7,6.74,0,0,0,0,0,0,0,0
2021/09/21,13:09:05,0.91,6.39,7.51,6.55,0,0,0,0,0,0,0,0
2021/09/21,13:09:10,0.92,6.23,7.33,6.37,0,0,0,0,0,0,0,0
