,時刻,K [ﾟC],WT [ﾟC],MG [ﾟC],SC [ﾟC],No5 [V],No6 [V],No7 [V],No8 [V],No9 [V],No10 [V],No11 [V],No12 [V]
2021/10/15,12:49:35,6.97,15.82,17.1,19.02,0,0,0,0,0,0,0,0
2021/10/15,12:49:40,7.17,15.26,16.57,18.33,0,0,0,0,0,0,0,0
2021/10/15,12:49:45,7.34,14.86,16.04,17.66,0,0,0,0,0,0,0,0
2021/10/15,12:49:50,7.63,14.37,15.39,17.05,0,0,0,0,0,0,0,0
2021/10/15,12:49:55,7.92,13.98,14.92,16.48,0,0,0,0,0,0,0,0
2021/10/15,12:50:00,7.42,13.54,14.79,15.98,0,0,0,0,0,0,0,0
2021/10/15,12:50:05,7.64,13.21,14.44,15.5,0,0,0,0,0,0,0,0
2021/10/15,12:50:10,7.64,12.98,14.29,15.08,0,0,0,0,0,0,0,0
2021/10/15,12:50:15,7.38,12.71,14.03,14.73,0,0,0,0,0,0,0,0
2021/10/15,12:50:20,7.68,12.49,13.45,14.41,0,0,0,0,0,0,0,0
2021/10/15,12:50:25,7.96,12.2,13.16,14.09,0,0,0,0,0,0,0,0
2021/10/15,12:50:30,8.1,11.99,12.64,13.79,0,0,0,0,0,0,0,0
2021/10/15,12:50:35,7.74,11.88,12.76,13.63,0,0,0,0,0,0,0,0
2021/10/15,12:50:40,7.9,11.65,12.53,13.36,0,0,0,0,0,0,0,0
2021/10/15,12:50:45,7.82,11.51,12.31,13.11,0,0,0,0,0,0,0,0
2021/10/15,12:50:50,7.88,11.35,12.24,12.89,0,0,0,0,0,0,0,0
2021/10/15,12:50:55,7.9,11.18,12.19,12.68,0,0,0,0,0,0,0,0
2021/10/15,12:51:00,7.72,11.06,11.77,12.48,0,0,0,0,0,0,0,0
2021/10/15,12:51:05,8.14,10.91,11.62,12.28,0,0,0,0,0,0,0,0
2021/10/15,12:51:10,8.06,10.7,11.47,12.1,0,0,0,0,0,0,0,0
2021/10/15,12:51:15,8.1,10.65,11.32,11.91,0,0,0,0,0,0,0,0
2021/10/15,12:51:20,7.96,10.56,11.35,11.73,0,0,0,0,0,0,0,0
2021/10/15,12:51:25,8.08,10.54,11.05,11.57,0,0,0,0,0,0,0,0
2021/10/15,12:51:30,8.14,10.44,10.92,11.43,0,0,0,0,0,0,0,0
2021/10/15,12:51:35,8.43,10.25,10.58,11.29,0,0,0,0,0,0,0,0
2021/10/15,12:51:40,8.22,10.12,10.7,11.16,0,0,0,0,0,0,0,0
2021/10/15,12:51:45,8.25,10.04,10.59,11.02,0,0,0,0,0,0,0,0
2021/10/15,12:51:50,8.03,10,10.73,10.89,0,0,0,0,0,0,0,0
2021/10/15,12:51:55,8.25,9.92,10.41,10.77,0,0,0,0,0,0,0,0
2021/10/15,12:52:00,8.46,9.83,10.33,10.69,0,0,0,0,0,0,0,0
2021/10/15,12:52:05,8.55,9.78,10.05,10.58,0,0,0,0,0,0,0,0
2021/10/15,12:52:10,8.29,9.67,10.19,10.49,0,0,0,0,0,0,0,0
2021/10/15,12:52:15,8.32,9.68,10.11,10.4,0,0,0,0,0,0,0,0
2021/10/15,12:52:20,8.14,9.61,10.3,10.33,0,0,0,0,0,0,0,0
2021/10/15,12:52:25,8.41,9.61,10,10.23,0,0,0,0,0,0,0,0
2021/10/15,12:52:30,8.57,9.5,9.9,10.16,0,0,0,0,0,0,0,0
2021/10/15,12:52:35,8.47,9.46,9.67,10.09,0,0,0,0,0,0,0,0
2021/10/15,12:52:40,8.48,9.38,9.83,10.01,0,0,0,0,0,0,0,0
2021/10/15,12:52:45,8.25,9.38,9.79,9.97,0,0,0,0,0,0,0,0
2021/10/15,12:52:50,8.28,9.34,9.97,9.9,0,0,0,0,0,0,0,0
2021/10/15,12:52:55,8.5,9.34,9.71,9.85,0,0,0,0,0,0,0,0
2021/10/15,12:53:00,8.68,9.27,9.43,9.81,0,0,0,0,0,0,0,0
2021/10/15,12:53:05,8.57,9.19,9.64,9.76,0,0,0,0,0,0,0,0
2021/10/15,12:53:10,8.54,9.17,9.61,9.71,0,0,0,0,0,0,0,0
2021/10/15,12:53:15,8.4,9.19,9.79,9.67,0,0,0,0,0,0,0,0
2021/10/15,12:53:20,8.58,9.24,9.54,9.63,0,0,0,0,0,0,0,0
2021/10/15,12:53:25,8.8,9.13,9.28,9.59,0,0,0,0,0,0,0,0
2021/10/15,12:53:30,8.65,9.12,9.24,9.56,0,0,0,0,0,0,0,0
2021/10/15,12:53:35,8.65,9.16,9.58,9.62,0,0,0,0,0,0,0,0
2021/10/15,12:53:40,8.47,9.18,9.81,9.58,0,0,0,0,0,0,0,0
2021/10/15,12:53:45,8.66,9.23,9.53,9.53,0,0,0,0,0,0,0,0
2021/10/15,12:53:50,8.74,9.15,9.52,9.52,0,0,0,0,0,0,0,0
2021/10/15,12:53:55,8.84,9.13,9.31,9.49,0,0,0,0,0,0,0,0
2021/10/15,12:54:00,8.76,9.07,9.49,9.48,0,0,0,0,0,0,0,0
2021/10/15,12:54:05,8.55,9.11,9.48,9.44,0,0,0,0,0,0,0,0
2021/10/15,12:54:10,8.73,9.19,9.47,9.42,0,0,0,0,0,0,0,0
2021/10/15,12:54:15,8.76,9.11,9.44,9.4,0,0,0,0,0,0,0,0
2021/10/15,12:54:20,9.03,9.08,9.16,9.38,0,0,0,0,0,0,0,0
2021/10/15,12:54:25,8.84,9.01,9.42,9.36,0,0,0,0,0,0,0,0
2021/10/15,12:54:30,8.65,9.07,9.42,9.34,0,0,0,0,0,0,0,0
2021/10/15,12:54:35,8.81,9.07,9.69,9.34,0,0,0,0,0,0,0,0
2021/10/15,12:54:40,8.81,9.11,9.41,9.31,0,0,0,0,0,0,0,0
2021/10/15,12:54:45,9.06,9.05,9.16,9.29,0,0,0,0,0,0,0,0
2021/10/15,12:54:50,8.87,9.05,9.4,9.29,0,0,0,0,0,0,0,0
2021/10/15,12:54:55,8.68,9.04,9.38,9.27,0,0,0,0,0,0,0,0
2021/10/15,12:55:00,8.91,9.05,9.64,9.26,0,0,0,0,0,0,0,0
2021/10/15,12:55:05,9.02,9.07,9.38,9.25,0,0,0,0,0,0,0,0
2021/10/15,12:55:10,9.19,9.04,9.13,9.23,0,0,0,0,0,0,0,0
2021/10/15,12:55:15,9.02,9.04,9.38,9.23,0,0,0,0,0,0,0,0
2021/10/15,12:55:20,8.87,9.05,9.38,9.22,0,0,0,0,0,0,0,0
2021/10/15,12:55:25,9.07,9.05,9.6,9.22,0,0,0,0,0,0,0,0
2021/10/15,12:55:30,9.05,9.07,9.37,9.19,0,0,0,0,0,0,0,0
2021/10/15,12:55:35,9.31,9.05,9.11,9.2,0,0,0,0,0,0,0,0
2021/10/15,12:55:40,9.08,8.98,9.38,9.19,0,0,0,0,0,0,0,0
2021/10/15,12:55:45,8.94,9.05,9.41,9.18,0,0,0,0,0,0,0,0
2021/10/15,12:55:50,9.11,9.05,9.6,9.18,0,0,0,0,0,0,0,0
2021/10/15,12:55:55,9.12,9.15,9.38,9.18,0,0,0,0,0,0,0,0
2021/10/15,12:56:00,9.27,9.07,9.19,9.18,0,0,0,0,0,0,0,0
2021/10/15,12:56:05,9.13,8.98,9.4,9.16,0,0,0,0,0,0,0,0
2021/10/15,12:56:10,8.96,9.07,9.62,9.18,0,0,0,0,0,0,0,0
2021/10/15,12:56:15,9.16,9.08,9.4,9.18,0,0,0,0,0,0,0,0
2021/10/15,12:56:20,9.16,9.09,9.4,9.16,0,0,0,0,0,0,0,0
2021/10/15,12:56:25,9.38,9.08,9.13,9.16,0,0,0,0,0,0,0,0
2021/10/15,12:56:30,9.19,9.07,9.41,9.18,0,0,0,0,0,0,0,0
2021/10/15,12:56:35,9.02,9.09,9.66,9.16,0,0,0,0,0,0,0,0
2021/10/15,12:56:40,9.2,9.12,9.42,9.16,0,0,0,0,0,0,0,0
2021/10/15,12:56:45,9.32,9.11,9.42,9.16,0,0,0,0,0,0,0,0
2021/10/15,12:56:50,9.58,9.11,9.16,9.18,0,0,0,0,0,0,0,0
2021/10/15,12:56:55,9.35,9.12,9.38,9.18,0,0,0,0,0,0,0,0
2021/10/15,12:57:00,9.14,9.24,9.55,9.26,0,0,0,0,0,0,0,0
2021/10/15,12:57:05,9.36,9.22,9.81,9.26,0,0,0,0,0,0,0,0
2021/10/15,12:57:10,9.36,9.24,9.55,9.26,0,0,0,0,0,0,0,0
2021/10/15,12:57:15,9.59,9.25,9.35,9.26,0,0,0,0,0,0,0,0
2021/10/15,12:57:20,9.39,9.14,9.57,9.28,0,0,0,0,0,0,0,0
2021/10/15,12:57:25,9.19,9.26,9.81,9.26,0,0,0,0,0,0,0,0
2021/10/15,12:57:30,9.4,9.26,9.57,9.28,0,0,0,0,0,0,0,0
2021/10/15,12:57:35,9.44,9.26,9.58,9.28,0,0,0,0,0,0,0,0
2021/10/15,12:57:40,9.62,9.26,9.32,9.28,0,0,0,0,0,0,0,0
2021/10/15,12:57:45,9.44,9.19,9.59,9.3,0,0,0,0,0,0,0,0
2021/10/15,12:57:50,9.26,9.28,9.88,9.29,0,0,0,0,0,0,0,0
2021/10/15,12:57:55,9.44,9.33,9.61,9.28,0,0,0,0,0,0,0,0
2021/10/15,12:58:00,9.64,9.29,9.61,9.29,0,0,0,0,0,0,0,0
2021/10/15,12:58:05,9.46,9.29,9.41,9.29,0,0,0,0,0,0,0,0
2021/10/15,12:58:10,9.47,9.36,9.74,9.41,0,0,0,0,0,0,0,0
2021/10/15,12:58:15,9.29,9.41,9.93,9.39,0,0,0,0,0,0,0,0
2021/10/15,12:58:20,9.48,9.45,9.74,9.39,0,0,0,0,0,0,0,0
2021/10/15,12:58:25,9.69,9.42,9.49,9.39,0,0,0,0,0,0,0,0
2021/10/15,12:58:30,9.5,9.42,9.52,9.41,0,0,0,0,0,0,0,0
2021/10/15,12:58:35,9.72,9.43,9.46,9.41,0,0,0,0,0,0,0,0
2021/10/15,12:58:40,9.54,9.45,9.74,9.41,0,0,0,0,0,0,0,0
2021/10/15,12:58:45,9.53,9.49,9.74,9.41,0,0,0,0,0,0,0,0
2021/10/15,12:58:50,9.53,9.57,9.75,9.42,0,0,0,0,0,0,0,0
2021/10/15,12:58:55,9.53,9.54,9.75,9.41,0,0,0,0,0,0,0,0
2021/10/15,12:59:00,9.73,9.46,9.52,9.42,0,0,0,0,0,0,0,0
2021/10/15,12:59:05,9.54,9.45,9.76,9.43,0,0,0,0,0,0,0,0
2021/10/15,12:59:10,9.39,9.47,10.01,9.43,0,0,0,0,0,0,0,0
2021/10/15,12:59:15,9.65,9.52,9.78,9.43,0,0,0,0,0,0,0,0
2021/10/15,12:59:20,9.86,9.47,9.52,9.43,0,0,0,0,0,0,0,0
2021/10/15,12:59:25,9.67,9.43,9.78,9.45,0,0,0,0,0,0,0,0
2021/10/15,12:59:30,9.67,9.49,9.79,9.45,0,0,0,0,0,0,0,0
2021/10/15,12:59:35,9.52,9.5,10.01,9.45,0,0,0,0,0,0,0,0
2021/10/15,12:59:40,9.68,9.56,9.79,9.45,0,0,0,0,0,0,0,0
2021/10/15,12:59:45,9.85,9.5,9.58,9.46,0,0,0,0,0,0,0,0
2021/10/15,12:59:50,9.68,9.46,9.81,9.47,0,0,0,0,0,0,0,0
2021/10/15,12:59:55,9.52,9.52,10.01,9.46,0,0,0,0,0,0,0,0
2021/10/15,13:00:00,9.7,9.53,9.81,9.46,0,0,0,0,0,0,0,0
2021/10/15,13:00:05,9.7,9.52,9.82,9.47,0,0,0,0,0,0,0,0
2021/10/15,13:00:10,9.7,9.62,9.93,9.59,0,0,0,0,0,0,0,0
2021/10/15,13:00:15,9.71,9.62,9.93,9.59,0,0,0,0,0,0,0,0
2021/10/15,13:00:20,9.53,9.64,10.14,9.58,0,0,0,0,0,0,0,0
2021/10/15,13:00:25,9.71,9.67,9.93,9.58,0,0,0,0,0,0,0,0
2021/10/15,13:00:30,9.87,9.64,9.92,9.58,0,0,0,0,0,0,0,0
2021/10/15,13:00:35,9.72,9.52,9.95,9.6,0,0,0,0,0,0,0,0
2021/10/15,13:00:40,9.53,9.64,9.95,9.59,0,0,0,0,0,0,0,0
2021/10/15,13:00:45,9.74,9.66,10.21,9.6,0,0,0,0,0,0,0,0
